# last_updated: 23-02-2026
"Series","Who\What?","from what series?","Within itself?","When did this happen? (Screenshots)","Month/Year","Extra info","Level?"
"Urusei Yatsura","Kenshiro","Hokuto No Ken","","TV Episode 158 (80s) [https://i.imgur.com/Yf5vkAC.png]","May, 1985","He gets goofed on. [https://i.imgur.com/JXBbDBD.png]","Level 2"
"Urusei Yatsura","Ranma","Ranma 1/2","Rumiko","OVA 10 - Terror of the Girly-eyes Measles [https://i.imgur.com/z7QvJrr.png]","June, 1991","","Level 1"
"Urusei Yatsura","Kyoko, Godai & Kentaro","Maison Ikkoku","Rumiko","OVA - It's a Rumic World: 50th Anniversary [https://i.imgur.com/uazrwoQ.png]","December, 2008","","Level 2"
"Urusei Yatsura","Ranma","Ranma 1/2","Rumiko","OVA - It's a Rumic World: 50th Anniversary [https://i.imgur.com/0DWmTLQ.png]","December, 2008","","Level 3"
"Urusei Yatsura","Inuyasha & Kagome","Inuyasha","Rumiko","OVA - It's a Rumic World: 50th Anniversary [https://i.imgur.com/0DWmTLQ.png]","December, 2008","","Level 3"
"Ranma 1/2","Inuyasha & Kagome","Inuyasha","Rumiko","OVA - It's a Rumic World: 50th Anniversary [https://i.imgur.com/0DWmTLQ.png]","December, 2008","","Level 3"
"Ranma 1/2","Lum & Ataru","Urusei Yatsura","Rumiko","OVA - It's a Rumic World: 50th Anniversary [https://i.imgur.com/0DWmTLQ.png]","December, 2008","","Level 3"
"Inuyasha","Lum & Ataru","Urusei Yatsura","Rumiko","OVA - It's a Rumic World: 50th Anniversary [https://i.imgur.com/0DWmTLQ.png]","December, 2008","","Level 3"
"Inuyasha","Ranma","Ranma 1/2","Rumiko","OVA - It's a Rumic World: 50th Anniversary [https://i.imgur.com/0DWmTLQ.png]","December, 2008","","Level 3"
"Urusei Yatsura","Yuri & Kei","Dirty Pair","","TV Episode 173 (80s) [https://i.imgur.com/BCD5pJQ.jpg]","September, 1985","They [https://i.imgur.com/2vOMRFn.png] .  appear. [https://i.imgur.com/I6ochoF.png]   multiple. [https://i.imgur.com/B8NhZ3A.png]   times. [https://i.imgur.com/zjcpicE.png]  in this  episode [https://i.imgur.com/iaUlJ4a.png] , this cell is the bet one so far","Level 2"
"Urusei Yatsura","Yuri & Kei","Dirty Pair","","Movie 4 - Lum the Forever [https://i.imgur.com/101Nw5e.png]","February, 1986","Kei [https://i.imgur.com/P9skDj6.png]  appears alone more  than [https://i.imgur.com/ejcaStu.png]   3 [https://i.imgur.com/YNOaRsu.png]   times [https://i.imgur.com/crX8uyF.png] . And here is  Yuri [https://i.imgur.com/PxTZXt7.png]","Level 2"
"Urusei Yatsura","Kenshiro","Hokuto No Ken","","Movie 4 - Lum the Forever [https://i.imgur.com/101Nw5e.png]","February, 1986","","Level 1"
"Saint Seiya","Kenshiro","Hokuto No Ken","","TV Episode 4 [https://i.imgur.com/fVpEqEY.png]","November, 1986","Kenshiro can be seen later in the episode  with different clothes. [https://i.imgur.com/DJzQPED.png]","Level 1"
"Saint Seiya","Fandora","Mujigen Hunter Fandora","","TV Episode 5 [https://i.imgur.com/fUrYZjU.png]","November, 1986","","Level 1"
"Saint Seiya","Mendo & Ryunosuke's Father","Urusei Yatsura","","TV Episode 5 [https://i.imgur.com/qFXxtjx.png]","November, 1986","","Level 1"
"Saint Seiya","Minky Momo","Minky Momo","","TV Episode 5 [https://i.imgur.com/qFXxtjx.png]","November, 1986","","Level 1"
"Urusei Yatsura","Ranma & Shampoo","Ranma 1/2","Rumiko","OVA 4 - Rage! Sherbert! [https://i.imgur.com/RalMc11.png]","December, 1988","Nabiki can be seen  here. [https://i.imgur.com/HL5yLM0.png]","Level 1"
"Urusei Yatsura","Yuri & Kei","Dirty Pair","","TV Episode 151 (80s) [https://i.imgur.com/w7pqGoE.png]","April, 1985","They also appear here. [https://i.imgur.com/E9CRAmT.png]","Level 1"
"Urusei Yatsura","Yuri & Kei","Dirty Pair","","TV Episode 159 (80s) [https://i.imgur.com/TzzMhoB.png]","June, 1985","They also appear here [https://i.imgur.com/xhPGXFD.png] ,  here [https://i.imgur.com/k53Xapn.png]  and  here [https://i.imgur.com/devt6gg.png] .","Level 1"
"Urusei Yatsura","Lupin, Jigen & Goemon","Lupin III","","TV Episode 158 (80s) [https://i.imgur.com/eZM9PCI.jpg]","May, 1985","Lupin also appears alone in  one of the crowd [https://i.imgur.com/1sJB60A.png]  in the class, then as  they walk out [https://i.imgur.com/O9ZDaBx.png]  of the school and then with  Jigena and Goemon [https://i.imgur.com/trar7CR.png] .","Level 2"
"Dirty Pair","Sakura & Ataru","Urusei Yatsura","","TV Episode 5 [https://i.imgur.com/CcAtXuC.png]","August, 1985","They can also be seen here. [https://i.imgur.com/QwC4wU1.png]","Level 1"
"Dirty Pair","Kyoko","Maison Ikkoku","","TV Episode 5 [https://i.imgur.com/C8Lh60r.png]","August, 1985","","Level 2"
"Urusei Yatsura","Yuri & Kei","Dirty Pair","","TV Episode 169 (80s) [https://i.imgur.com/WuUGGi8.png]","August, 1985","","Level 1"
"Urusei Yatsura","Yuri, Kei & Mughi","Dirty Pair","","TV Episode 168 (80s) [https://i.imgur.com/4MS6zDR.png]","August, 1985","Yuri and Kei appears multiple times in this episode [https://twitter.com/CoolTaff16/status/1357470731320360968?s=20]  and basically follows the cast around and even reacts to their actions. But due to how they don't contribute more to the plot or have their own voice lines, they are in Level 2","Level 2"
"Dirty Pair","Ami & Rei","Sailor Moon","","TV Episode 4 (Flash) [https://i.imgur.com/WCro0Mi.jpg]","April, 1994","They can also be seen here. [https://i.imgur.com/CnGyQfe.png]","Level 1"
"Urusei Yatsura","Yuri & Kei","Dirty Pair","","TV Episode 178 (80s) [https://i.imgur.com/oqN57W2.png]","October, 1985","","Level 2"
"Urusei Yatsura","Kenshiro","Hokuto No Ken","","TV Episode 178 (80s) [https://i.imgur.com/9jA6YRs.png]","October, 1985","","Level 2"
"Cutie Honey","Minky Momo","Minky Momo","","OVA Episode 1 (Shin) [https://i.imgur.com/5bpKEcf.jpg]","April, 1994","","Level 1"
"Dirty Pair","Rem","Dream Hunter Rem","","TV Episode 16 [https://i.imgur.com/OuaCqYJ.png]","November, 1985","She can also be seen here. [https://i.imgur.com/zdHMJbm.png]","Level 2"
"Hokuto No Ken","Arion","Arion","","Movie - (1986) [https://i.imgur.com/GNWza2u.png]","March, 1986","","Level 1"
"Hokuto No Ken","D","Vampire Hunter D","","Movie - (1986) [https://i.imgur.com/z6xk1O2.png]","March, 1986","","Level 1"
"Vampire Hunter D","Kenshiro, Rin & Mamiya","Hokuto No Ken","","Movie - (1985) [https://i.imgur.com/d8HCGLb.jpg]","December, 1985","Rin  [https://i.imgur.com/YL3RvTE.jpg] is in the shot before this screenshot and Mamiya can be seen here [https://i.imgur.com/IfppjSP.png] , here [https://i.imgur.com/xG2nSPw.png] , here [https://i.imgur.com/PbitbqZ.png] and here [https://i.imgur.com/icY0i2z.png] .","Level 2"
"Hokuto No Ken","Minky Momo","Minky Momo","","TV Episode 38 [https://i.imgur.com/uHyxPuB.png]","August, 1985","","Level 2"
"Minky Momo","Creamy Mami","Creamy Mami","","OVA Extra [https://i.imgur.com/MqGMbBx.png]","August, 1985","https://www.dailymotion.com/video/x37vksu [https://www.dailymotion.com/video/x37vksu]","Level 3"
"Creamy Mami","Minky Momo","Minky Momo","","OVA Extra [https://i.imgur.com/MqGMbBx.png]","August, 1985","https://www.dailymotion.com/video/x37vksu [https://www.dailymotion.com/video/x37vksu]","Level 3"
"Kinnikuman","Kenshiro","Hokuto No Ken","","TV Episode 82 (OG) [https://i.imgur.com/FxTGb5g.png]","January, 1985","","Level 1"
"Lupin III","Oscar","Lady Oscar","","TV Episode 101 (Part 2) [https://i.imgur.com/TOjNcO8.png]","September, 1979","","Level 3"
"Dirty Pair","Sakura, Shinobu, Ataru, Ran & Cherry","Urusei Yatsura","","TV Episode 12 [https://i.imgur.com/ybuFwdd.png]","October, 1985","Shinobu and Sakura can be  seen here [https://i.imgur.com/m3qDZJd.png] , Ran and Cherry  with Sakura here. [https://i.imgur.com/URuw7wt.png]","Level 1"
"Amon Saga","D","Vampire Hunter D","","OVA [https://i.imgur.com/Joc7U6M.png]","July, 1986","","Level 3"
"Urusei Yatsura","Yuri & Kei","Dirty Pair","","TV Episode 163 (80s) [https://i.imgur.com/TCDVTl4.png]","July, 1985","Yuri can be  seen here [https://i.imgur.com/UABLqlE.png]  and both of them can also be  seen here. [https://i.imgur.com/RkO1i0v.png]","Level 1"
"Urusei Yatsura","Hiromi & Reika","Aim for the Ace","","TV Episode 163 (80s) [https://i.imgur.com/P04iEoq.png]","July, 1985","","Level 2"
"Urusei Yatsura","Baradagi","Prefectural Earth Defense Force","","TV Episode 169 (80s) [https://i.imgur.com/EufaD29.png]","August, 1985","She's [https://i.imgur.com/fjcjfQN.png]  level 2  since [https://i.imgur.com/96ioKif.png]  she appears  multiple times [https://i.imgur.com/PItfQtS.png]","Level 2"
