"Series","Total Points","Host","Guest"
"Urusei Yatsura","265","183","82"
"Lupin III","68","19","49"
"Gu Gu Ganmo","67","40","27"
"Dirty Pair","63","31","32"
"Sasuga no Sarutobi","61","39","22"
"Attacker You!","58","58","0"
"Creamy Mami","56","24","32"
"Magical Emi","55","43","12"
"Maison Ikkoku","49","21","28"
"Mazinger series","48","13","35"
"Plawres Sanshiro","47","40","7"
"Dragon Ball","47","43","4"
"Astro Boy","46","40","6"
"Black Jack","44","39","5"
"Gundam","42","11","31"
"GeGeGe No Kitaro","41","19","22"
"Dr.Slump","39","26","13"
"Magical Fairy Persia","37","18","19"
"Minky Momo","36","11","25"
"Princess Knight","34","32","2"
"Macross","34","10","24"
"Kinnikuman","33","32","1"
"Captain Tsubasa","30","27","3"
"Ranpou","29","27","2"
"Time Bokan","29","25","4"
"Ashita No Joe","28","0","28"
"Cutie Honey","27","17","10"
"Project A-ko","26","13","13"
"Orguss","25","22","3"
"Saint Seiya","23","18","5"
"Sailor Moon","23","18","5"
"Devilman","22","11","11"
"Hokuto No Ken","22","5","17"
"Mitsume ga Tooru","21","17","4"
"Ranma 1/2","21","12","9"
"Akanuke Ichiban!","20","20","0"
"Doraemon","19","12","7"
"Cyborg 009","17","2","15"
"Prefectural Earth Defense Force","16","0","16"
"Detective Conan","16","8","8"
"Q-Taro","16","2","14"
"Galaxy Express 999","15","13","2"
"Maple Town","15","15","0"
"Stop Hibari-Kun","14","5","9"
"Bikkuriman","14","14","0"
"Srungle","14","14","0"
"Game Center Arashi","14","11","3"
"Marvelous Melmo","13","13","0"
"Pastel Yumi","13","12","1"
"Excel Saga","13","13","0"
"Gatchaman","13","6","7"
"City Hunter","13","9","4"
"Megazone 23","12","10","2"
"Getter Robo","12","4","8"
"Little Memole","12","11","1"
"Captain Harlock","12","4","8"
"Crayon Shin-chan","12","7","5"
"Heavy Metal L-Gaim","11","5","6"
"Osomatsu","11","4","7"
"Kekko Kamen","11","8","3"
"Gintama","11","8","3"
"Anime Tenchou","10","1","9"
"Jaja Uma Grooming Up","10","8","2"
"Major","10","6","4"
"Don Dracula","10","0","10"
"Kimba","10","0","10"
"Inuyasha","10","8","2"
"Candy Candy","9","7","2"
"Yume Senshi Wingman","9","6","3"
"Ghost Sweeper Mikami","9","1","8"
"Space Battleship Yamato","9","0","9"
"Future Police Urashiman","9","0","9"
"Ambassador Magma","9","0","9"
"Unico","9","0","9"
"One Piece","9","7","2"
"Sandybell","8","8","0"
"Iczer","8","3","5"
"Cleopatra","8","8","0"
"Gambalist! Shun","8","4","4"
"Dokonjo Gaeru","8","0","8"
"Kyou kara Ore wa!!","8","0","8"
"One-Million Year Trip: Bander Book","8","4","4"
"Megumi no Daigo","8","6","2"
"Daitarn III","8","0","8"
"Sally The Witch","8","1","7"
"AKIRA","8","0","8"
"Hi no Tori","8","0","8"
"Dororo","8","0","8"
"The Amazing 3","8","0","8"
"Boku no Son Goku","8","0","8"
"Big X","8","0","8"
"Himitsu no Akko-chan","7","6","1"
"Kyukyoku Chojin R","7","1","6"
"DelPower X","7","7","0"
"Queen Emeraldas","7","0","7"
"Tetsujin 28-go","7","0","7"
"Samurai Giants","7","0","7"
"H2","7","5","2"
"Kimengumi","7","3","4"
"Dokkiri Doctor","7","0","7"
"Dougram","7","7","0"
"JoJo's Bizarre Adventure","6","5","1"
"21 emon","6","6","0"
"Igano Kabamaru","6","6","0"
"Danguard Ace","6","6","0"
"Haha o Tazunete Sanzen Ri","6","6","0"
"Captain","6","6","0"
"Lucky Star","6","6","0"
"Nausicaa","6","0","6"
"Kochikame","6","3","3"
"Evangelion","6","0","6"
"Cat's Eye","6","2","4"
"Votoms","6","3","3"
"Star of the Giants","6","6","0"
"Goldfish Warning!","6","0","6"
"Vampire Hunter D","5","1","4"
"Space Patrol Luluco","5","4","1"
"Violence Jack","5","5","0"
"Cooking Papa","5","5","0"
"Papuwa","5","5","0"
"Magical Taluluto","5","5","0"
"Obocchama-kun","5","5","0"
"Hai! Akko Desu","5","5","0"
"Tokimeki Tonight","5","3","2"
"Elf 17","5","2","3"
"Umi no Toriton","5","0","5"
"Buddah","5","0","5"
"Xabungle","5","0","5"
"Tensai Bakabon","5","0","5"
"Ginga Hyouryuu Vifam","5","0","5"
"Choujin Locke","5","0","5"
"Space Runaway Ideon","5","1","4"
"Acrobunch","5","0","5"
"Robot Romance Trilogy","5","0","5"
"Pokemon","4","2","2"
"Majokko Megu-chan","4","2","2"
"Sakigake!! Otokojuku","4","4","0"
"Maris The Choujo","4","1","3"
"Moeru! Onii-san","4","4","0"
"Mr Ajikko","4","4","0"
"Perman","4","2","2"
"Aim for the Ace","4","1","3"
"LOVe","4","4","0"
"Ushio & Tora","4","0","4"
"Jetter Mars","4","0","4"
"Dash Kappei","4","4","0"
"Shinkalion","4","4","0"
"Dunbine","4","0","4"
"Crusher Joe","4","2","2"
"Pretty Cure","4","2","2"
"Toriko","3","3","0"
"Yu-Gi-Oh!","3","3","0"
"Inou-Battle wa Nichijou-kei no Naka de","3","3","0"
"Kill la Kill","3","1","2"
"Assassination Classroom","3","3","0"
"Mado King Granzort","3","3","0"
"Dororon Enma-kun","3","1","2"
"Panda Kopanda","3","3","0"
"Dream Hunter Rem","3","0","3"
"Lady Oscar","3","0","3"
"Little Witch Academia","3","0","3"
"Kotetsu Jeeg","3","0","3"
"Speed Racer","3","0","3"
"Ai no Senshi Rainbowman","3","0","3"
"Flame of Recca","3","0","3"
"GoShogun","3","0","3"
"Karuizawa Syndrome","3","0","3"
"Dancouga","3","0","3"
"Nanako SOS","3","0","3"
"Sherlock Hound","3","0","3"
"Magical Taruruuto-kun","3","3","0"
"Zillion","2","2","0"
"Monster Strike","2","2","0"
"Sket Dance","2","1","1"
"Ray The Animation","2","2","0"
"Maze Bakunetsu Jikuu","2","2","0"
"The Disastrous Life of Saiki K.","2","1","1"
"Idol Densetsu Eriko","2","2","0"
"Hana no Ko Lunlun","2","1","1"
"Assemble Insert","2","2","0"
"Mujigen Hunter Fandora","2","1","1"
"Esper Mami","2","1","1"
"Cream Lemon","2","0","2"
"Miss Machiko","2","0","2"
"Harenchi Gakuen","2","0","2"
"Kimagure Orange Road","2","0","2"
"Patalliro!","2","0","2"
"Oira Sukeban","2","0","2"
"Yawara!","2","0","2"
"Furious Ataro","2","0","2"
"Atashin'chi","2","2","0"
"Anne of Green Gables","2","0","2"
"Touch","2","0","2"
"Tekkaman","2","0","2"
"Pop Team Epic","2","1","1"
"Baki","1","1","0"
"Kengan Ashura","1","1","0"
"Amon Saga","1","1","0"
"Hamtaro","1","1","0"
"Uzaki-chan","1","1","0"
"Chibi Maruko-chan","1","1","0"
"Robot Carnival","1","1","0"
"Mahou Shoujo Madoka","1","1","0"
"Monogatari","1","1","0"
"Wedding Peach","1","1","0"
"Hello Kitty","1","1","0"
"Black Clover","1","1","0"
"Binbougami ga!","1","1","0"
"Kiznaiver","1","1","0"
"Nurse Angel Ririka SOS","1","1","0"
"Trider G7","1","1","0"
"Seikimatsu Darling","1","1","0"
"Last Period","1","1","0"
"Ronin Warriors","1","1","0"
"Machine Robo","1","1","0"
"Aikatsu!","1","1","0"
"KANIPAN","1","1","0"
"Rinne","1","1","0"
"Hayate the Combat Butler","1","1","0"
"Zettai Karen Children","1","1","0"
